t_utc,spot_kr_per_kwh,marginal_kr_per_kwh,outdoor_temp_c,expected_delta_cost_kr
2026-07-05T11:00:00Z,0.1185,0.5455,12.8,0
2026-07-05T11:15:00Z,0.1185,0.5455,12.8,0
2026-07-05T11:30:00Z,0.1185,0.5455,12.8,0
2026-07-05T11:45:00Z,0.1185,0.5455,12.8,0
2026-07-05T12:00:00Z,0.1267,0.5537,13.3,0
2026-07-05T12:15:00Z,0.1267,0.5537,13.3,0
2026-07-05T12:30:00Z,0.1267,0.5537,13.3,0
2026-07-05T12:45:00Z,0.1267,0.5537,13.3,0
2026-07-05T13:00:00Z,0.2923,0.7193,13.3,0
2026-07-05T13:15:00Z,0.2923,0.7193,13.3,0
2026-07-05T13:30:00Z,0.2923,0.7193,13.3,0
2026-07-05T13:45:00Z,0.2923,0.7193,13.3,0
2026-07-05T14:00:00Z,0.342,0.769,13.3,0
2026-07-05T14:15:00Z,0.342,0.769,13.3,0
2026-07-05T14:30:00Z,0.342,0.769,13.3,0
2026-07-05T14:45:00Z,0.342,0.769,13.3,0
2026-07-05T15:00:00Z,0.3977,0.8247,13.2,0
2026-07-05T15:15:00Z,0.3977,0.8247,13.2,0
2026-07-05T15:30:00Z,0.3977,0.8247,13.2,0
2026-07-05T15:45:00Z,0.3977,0.8247,13.2,0
2026-07-05T16:00:00Z,0.7036,1.1306,13.1,0
2026-07-05T16:15:00Z,0.7036,1.1306,13.1,0
2026-07-05T16:30:00Z,0.7036,1.1306,13.1,0
2026-07-05T16:45:00Z,0.7036,1.1306,13.1,0
2026-07-05T17:00:00Z,0.7373,1.1643,12.5,0
2026-07-05T17:15:00Z,0.7373,1.1643,12.5,0
2026-07-05T17:30:00Z,0.7373,1.1643,12.5,0
2026-07-05T17:45:00Z,0.7373,1.1643,12.5,0
2026-07-05T18:00:00Z,0.7474,1.1743999999999999,12.2,0
2026-07-05T18:15:00Z,0.7474,1.1743999999999999,12.2,0
2026-07-05T18:30:00Z,0.7474,1.1743999999999999,12.2,0
2026-07-05T18:45:00Z,0.7474,1.1743999999999999,12.2,0
2026-07-05T19:00:00Z,0.768,1.195,11.7,0
2026-07-05T19:15:00Z,0.768,1.195,11.7,0
2026-07-05T19:30:00Z,0.768,1.195,11.7,0
2026-07-05T19:45:00Z,0.768,1.195,11.7,0
2026-07-05T20:00:00Z,0.7582,1.0802,10.8,0
2026-07-05T20:15:00Z,0.7582,1.0802,10.8,0
2026-07-05T20:30:00Z,0.7582,1.0802,10.8,0
2026-07-05T20:45:00Z,0.7582,1.0802,10.8,0
2026-07-05T21:00:00Z,0.7253,1.0473,9.6,0
2026-07-05T21:15:00Z,0.7253,1.0473,9.6,0
2026-07-05T21:30:00Z,0.7253,1.0473,9.6,0
2026-07-05T21:45:00Z,0.7253,1.0473,9.6,0
2026-07-05T22:00:00Z,0.6766,0.9985999999999999,8.7,0
2026-07-05T22:15:00Z,0.6766,0.9985999999999999,8.7,0
2026-07-05T22:30:00Z,0.6766,0.9985999999999999,8.7,0
2026-07-05T22:45:00Z,0.6766,0.9985999999999999,8.7,0
2026-07-05T23:00:00Z,0.6496,0.9716,8,0
2026-07-05T23:15:00Z,0.6496,0.9716,8,0
2026-07-05T23:30:00Z,0.6496,0.9716,8,0
2026-07-05T23:45:00Z,0.6496,0.9716,8,0
2026-07-06T00:00:00Z,0.659,0.9810000000000001,7.5,0
2026-07-06T00:15:00Z,0.659,0.9810000000000001,7.5,0
2026-07-06T00:30:00Z,0.659,0.9810000000000001,7.5,0
2026-07-06T00:45:00Z,0.659,0.9810000000000001,7.5,0
2026-07-06T01:00:00Z,0.6562,0.9782,7.3,0
2026-07-06T01:15:00Z,0.6562,0.9782,7.3,0
2026-07-06T01:30:00Z,0.6562,0.9782,7.3,0
2026-07-06T01:45:00Z,0.6562,0.9782,7.3,0
2026-07-06T02:00:00Z,0.6679,0.9899,7.2,0
2026-07-06T02:15:00Z,0.6679,0.9899,7.2,0
2026-07-06T02:30:00Z,0.6679,0.9899,7.2,0
2026-07-06T02:45:00Z,0.6679,0.9899,7.2,0
2026-07-06T03:00:00Z,0.6739,0.9959,7.4,0
2026-07-06T03:15:00Z,0.6739,0.9959,7.4,0
2026-07-06T03:30:00Z,0.6739,0.9959,7.4,0
2026-07-06T03:45:00Z,0.6739,0.9959,7.4,0
2026-07-06T04:00:00Z,0.7718,1.1988,8,0
2026-07-06T04:15:00Z,0.7718,1.1988,8,0
2026-07-06T04:30:00Z,0.7718,1.1988,8,0
2026-07-06T04:45:00Z,0.7718,1.1988,8,0
2026-07-06T05:00:00Z,0.7893,1.2163,8.9,-0.04
2026-07-06T05:15:00Z,0.7893,1.2163,8.9,-0.03
2026-07-06T05:30:00Z,0.7893,1.2163,8.9,-0.04
2026-07-06T05:45:00Z,0.7893,1.2163,8.9,0
2026-07-06T06:00:00Z,0.7712,1.1982,10.2,0
2026-07-06T06:15:00Z,0.7712,1.1982,10.2,0
2026-07-06T06:30:00Z,0.7712,1.1982,10.2,0
2026-07-06T06:45:00Z,0.7712,1.1982,10.2,0
2026-07-06T07:00:00Z,0.7398,1.1668,11.4,0
2026-07-06T07:15:00Z,0.7398,1.1668,11.4,0
2026-07-06T07:30:00Z,0.7398,1.1668,11.4,0
2026-07-06T07:45:00Z,0.7398,1.1668,11.4,0
2026-07-06T08:00:00Z,0.7538,1.1808,12.5,0
2026-07-06T08:15:00Z,0.7538,1.1808,12.5,0
2026-07-06T08:30:00Z,0.7538,1.1808,12.5,0
2026-07-06T08:45:00Z,0.7538,1.1808,12.5,0
2026-07-06T09:00:00Z,0.78,1.207,12.9,0
2026-07-06T09:15:00Z,0.78,1.207,12.9,-0.04
2026-07-06T09:30:00Z,0.78,1.207,12.9,-0.03
2026-07-06T09:45:00Z,0.78,1.207,12.9,-0.03
2026-07-06T10:00:00Z,0.7563,1.1833,13.8,-0.03
2026-07-06T10:15:00Z,0.7563,1.1833,13.8,-0.03
2026-07-06T10:30:00Z,0.7563,1.1833,13.8,-0.03
2026-07-06T10:45:00Z,0.7563,1.1833,13.8,-0.03
